city,date,total_crime_count,violent_count,property_count,other_count,Daily Temperature Mean,Daily Precipitation Sum
Charlottesville,2022-01-01,15,0,2,13,14.7,9.0
Charlottesville,2022-01-02,11,0,2,9,15.4,16.9
Charlottesville,2022-01-03,8,0,1,7,0.9,29.4
Charlottesville,2022-01-04,16,0,1,15,-6.4,0.0
Charlottesville,2022-01-05,12,0,0,12,0.2,0.0
Charlottesville,2022-01-06,10,0,0,10,3.7,0.1
Charlottesville,2022-01-07,4,0,0,4,-3.5,3.9
Charlottesville,2022-01-08,9,0,0,9,-7.4,0.0
Charlottesville,2022-01-09,13,0,0,13,3.0,2.6
Charlottesville,2022-01-10,16,0,2,14,1.8,0.0
Charlottesville,2022-01-11,6,0,0,6,-2.9,0.0
Charlottesville,2022-01-12,6,0,0,6,1.1,0.0
Charlottesville,2022-01-13,17,0,1,16,3.2,0.0
Charlottesville,2022-01-14,11,0,0,11,3.6,0.0
Charlottesville,2022-01-15,9,0,2,7,-1.9,0.0
Charlottesville,2022-01-16,9,0,1,8,-5.3,29.3
Charlottesville,2022-01-17,9,0,2,7,0.6,1.3
Charlottesville,2022-01-18,12,0,1,11,-2.1,0.0
Charlottesville,2022-01-19,15,1,3,11,1.4,0.0
Charlottesville,2022-01-20,11,0,0,11,2.4,5.6
Charlottesville,2022-01-21,13,0,0,13,-5.5,0.0
Charlottesville,2022-01-22,7,0,0,7,-4.9,0.0
Charlottesville,2022-01-23,11,0,2,9,-0.3,0.0
Charlottesville,2022-01-24,13,0,1,12,1.5,0.0
Charlottesville,2022-01-25,12,0,1,11,4.5,0.0
Charlottesville,2022-01-26,13,0,2,11,-2.4,0.0
Charlottesville,2022-01-27,8,0,0,8,-2.6,0.0
Charlottesville,2022-01-28,11,0,0,11,0.6,4.4
Charlottesville,2022-01-29,12,0,1,11,-3.5,0.1
Charlottesville,2022-01-30,11,0,0,11,-4.3,0.3
Charlottesville,2022-01-31,15,0,2,13,-2.0,0.0
Charlottesville,2022-02-01,19,0,4,15,-0.5,0.0
Charlottesville,2022-02-02,8,0,1,7,2.4,0.0
Charlottesville,2022-02-03,12,0,1,11,6.9,16.3
Charlottesville,2022-02-04,12,0,0,12,12.1,14.5
Charlottesville,2022-02-05,18,0,0,18,-0.1,0.0
Charlottesville,2022-02-06,9,0,0,9,-2.4,0.0
Charlottesville,2022-02-07,14,0,1,13,-1.0,5.8
Charlottesville,2022-02-08,17,0,1,16,2.1,0.0
Charlottesville,2022-02-09,15,0,2,13,4.2,0.0
Charlottesville,2022-02-10,17,0,2,15,7.0,0.0
Charlottesville,2022-02-11,16,0,2,14,8.6,0.0
Charlottesville,2022-02-12,15,0,1,14,11.2,0.0
Charlottesville,2022-02-13,22,0,0,22,2.2,5.1
Charlottesville,2022-02-14,16,0,1,15,-2.1,0.0
Charlottesville,2022-02-15,21,0,1,20,-1.2,0.0
Charlottesville,2022-02-16,14,0,1,13,3.8,0.0
Charlottesville,2022-02-17,19,0,0,19,13.7,0.1
Charlottesville,2022-02-18,14,0,0,14,9.4,11.9
Charlottesville,2022-02-19,6,0,0,6,1.4,0.0
Charlottesville,2022-02-20,10,0,3,7,0.1,0.0
Charlottesville,2022-02-21,10,0,1,9,6.7,0.0
Charlottesville,2022-02-22,20,0,3,17,13.1,1.7
Charlottesville,2022-02-23,17,0,2,15,15.8,2.2
Charlottesville,2022-02-24,18,0,2,16,3.5,5.7
Charlottesville,2022-02-25,14,0,0,14,6.2,1.8
Charlottesville,2022-02-26,18,0,4,14,4.3,0.0
Charlottesville,2022-02-27,15,0,1,14,6.3,0.0
Charlottesville,2022-02-28,15,0,0,15,5.3,0.0
Charlottesville,2022-03-01,8,0,1,7,6.3,0.0
Charlottesville,2022-03-02,21,0,3,18,10.6,0.0
Charlottesville,2022-03-03,19,0,3,16,11.4,0.0
Charlottesville,2022-03-04,21,0,5,16,3.2,0.0
Charlottesville,2022-03-05,8,0,1,7,9.2,0.0
Charlottesville,2022-03-06,7,0,0,7,18.2,0.2
Charlottesville,2022-03-07,20,0,6,14,18.4,3.2
Charlottesville,2022-03-08,13,0,2,11,9.3,0.0
Charlottesville,2022-03-09,13,0,2,11,6.9,14.5
Charlottesville,2022-03-10,11,0,0,11,6.4,0.0
Charlottesville,2022-03-11,14,0,1,13,8.6,0.0
Charlottesville,2022-03-12,8,0,1,7,1.8,16.1
Charlottesville,2022-03-13,10,0,1,9,0.0,0.0
Charlottesville,2022-03-14,18,0,1,17,6.9,0.0
Charlottesville,2022-03-15,21,0,1,20,11.7,0.0
Charlottesville,2022-03-16,18,0,0,18,12.3,1.3
Charlottesville,2022-03-17,7,0,0,7,12.6,23.0
Charlottesville,2022-03-18,16,0,1,15,15.3,0.0
Charlottesville,2022-03-19,21,0,2,19,17.2,0.2
Charlottesville,2022-03-20,22,0,2,20,11.3,0.0
Charlottesville,2022-03-21,18,0,4,14,11.5,0.0
Charlottesville,2022-03-22,14,0,1,13,12.8,0.0
Charlottesville,2022-03-23,22,0,1,21,10.1,24.2
Charlottesville,2022-03-24,9,0,1,8,16.0,2.7
Charlottesville,2022-03-25,18,0,1,17,11.6,0.0
Charlottesville,2022-03-26,24,0,3,21,7.3,0.0
Charlottesville,2022-03-27,19,0,1,18,3.8,0.0
Charlottesville,2022-03-28,17,0,1,16,1.6,0.0
Charlottesville,2022-03-29,12,0,0,12,2.0,0.0
Charlottesville,2022-03-30,13,0,0,13,8.7,1.9
Charlottesville,2022-03-31,21,0,0,21,17.9,3.7
Charlottesville,2022-04-01,18,0,1,17,10.5,0.0
Charlottesville,2022-04-02,9,0,2,7,7.3,0.0
Charlottesville,2022-04-03,15,0,2,13,10.4,0.0
Charlottesville,2022-04-04,20,0,1,19,7.9,0.0
Charlottesville,2022-04-05,17,0,3,14,10.2,12.8
Charlottesville,2022-04-06,16,0,1,15,14.8,4.5
Charlottesville,2022-04-07,11,0,2,9,11.4,22.8
Charlottesville,2022-04-08,17,0,2,15,10.2,0.1
