city,date,total_crime_count,violent_count,property_count,other_count,Daily Temperature Mean,Daily Precipitation Sum
Charlottesville,2022-01-01,15,0,2,13,,
Charlottesville,2022-01-02,11,0,2,9,,
Charlottesville,2022-01-03,8,0,1,7,,
Charlottesville,2022-01-04,16,0,1,15,,
Charlottesville,2022-01-05,12,0,0,12,,
Charlottesville,2022-01-06,10,0,0,10,,
Charlottesville,2022-01-07,4,0,0,4,,
Charlottesville,2022-01-08,9,0,0,9,,
Charlottesville,2022-01-09,13,0,0,13,,
Charlottesville,2022-01-10,16,0,2,14,,
Charlottesville,2022-01-11,6,0,0,6,,
Charlottesville,2022-01-12,6,0,0,6,,
Charlottesville,2022-01-13,17,0,1,16,,
Charlottesville,2022-01-14,11,0,0,11,,
Charlottesville,2022-01-15,9,0,2,7,,
Charlottesville,2022-01-16,9,0,1,8,,
Charlottesville,2022-01-17,9,0,2,7,,
Charlottesville,2022-01-18,12,0,1,11,,
Charlottesville,2022-01-19,15,1,3,11,,
Charlottesville,2022-01-20,11,0,0,11,,
Charlottesville,2022-01-21,13,0,0,13,,
Charlottesville,2022-01-22,7,0,0,7,,
Charlottesville,2022-01-23,11,0,2,9,,
Charlottesville,2022-01-24,13,0,1,12,,
Charlottesville,2022-01-25,12,0,1,11,,
Charlottesville,2022-01-26,13,0,2,11,,
Charlottesville,2022-01-27,8,0,0,8,,
Charlottesville,2022-01-28,11,0,0,11,,
Charlottesville,2022-01-29,12,0,1,11,,
Charlottesville,2022-01-30,11,0,0,11,,
Charlottesville,2022-01-31,15,0,2,13,,
Charlottesville,2022-02-01,19,0,4,15,,
Charlottesville,2022-02-02,8,0,1,7,,
Charlottesville,2022-02-03,12,0,1,11,,
Charlottesville,2022-02-04,12,0,0,12,,
Charlottesville,2022-02-05,18,0,0,18,,
Charlottesville,2022-02-06,9,0,0,9,,
Charlottesville,2022-02-07,14,0,1,13,,
Charlottesville,2022-02-08,17,0,1,16,,
Charlottesville,2022-02-09,15,0,2,13,,
Charlottesville,2022-02-10,17,0,2,15,,
Charlottesville,2022-02-11,16,0,2,14,,
Charlottesville,2022-02-12,15,0,1,14,,
Charlottesville,2022-02-13,22,0,0,22,,
Charlottesville,2022-02-14,16,0,1,15,,
Charlottesville,2022-02-15,21,0,1,20,,
Charlottesville,2022-02-16,14,0,1,13,,
Charlottesville,2022-02-17,19,0,0,19,,
Charlottesville,2022-02-18,14,0,0,14,,
Charlottesville,2022-02-19,6,0,0,6,,
Charlottesville,2022-02-20,10,0,3,7,,
Charlottesville,2022-02-21,10,0,1,9,,
Charlottesville,2022-02-22,20,0,3,17,,
Charlottesville,2022-02-23,17,0,2,15,,
Charlottesville,2022-02-24,18,0,2,16,,
Charlottesville,2022-02-25,14,0,0,14,,
Charlottesville,2022-02-26,18,0,4,14,,
Charlottesville,2022-02-27,15,0,1,14,,
Charlottesville,2022-02-28,15,0,0,15,,
Charlottesville,2022-03-01,8,0,1,7,,
Charlottesville,2022-03-02,21,0,3,18,,
Charlottesville,2022-03-03,19,0,3,16,,
Charlottesville,2022-03-04,21,0,5,16,,
Charlottesville,2022-03-05,8,0,1,7,,
Charlottesville,2022-03-06,7,0,0,7,,
Charlottesville,2022-03-07,20,0,6,14,,
Charlottesville,2022-03-08,13,0,2,11,,
Charlottesville,2022-03-09,13,0,2,11,,
Charlottesville,2022-03-10,11,0,0,11,,
Charlottesville,2022-03-11,14,0,1,13,,
Charlottesville,2022-03-12,8,0,1,7,,
Charlottesville,2022-03-13,10,0,1,9,,
Charlottesville,2022-03-14,18,0,1,17,,
Charlottesville,2022-03-15,21,0,1,20,,
Charlottesville,2022-03-16,18,0,0,18,,
Charlottesville,2022-03-17,7,0,0,7,,
Charlottesville,2022-03-18,16,0,1,15,,
Charlottesville,2022-03-19,21,0,2,19,,
Charlottesville,2022-03-20,22,0,2,20,,
Charlottesville,2022-03-21,18,0,4,14,,
Charlottesville,2022-03-22,14,0,1,13,,
Charlottesville,2022-03-23,22,0,1,21,,
Charlottesville,2022-03-24,9,0,1,8,,
Charlottesville,2022-03-25,18,0,1,17,,
Charlottesville,2022-03-26,24,0,3,21,,
Charlottesville,2022-03-27,19,0,1,18,,
Charlottesville,2022-03-28,17,0,1,16,,
Charlottesville,2022-03-29,12,0,0,12,,
Charlottesville,2022-03-30,13,0,0,13,,
Charlottesville,2022-03-31,21,0,0,21,,
Charlottesville,2022-04-01,18,0,1,17,,
Charlottesville,2022-04-02,9,0,2,7,,
Charlottesville,2022-04-03,15,0,2,13,,
Charlottesville,2022-04-04,20,0,1,19,,
Charlottesville,2022-04-05,17,0,3,14,,
Charlottesville,2022-04-06,16,0,1,15,,
Charlottesville,2022-04-07,11,0,2,9,,
Charlottesville,2022-04-08,17,0,2,15,,
Charlottesville,2022-04-09,15,0,1,14,,
Charlottesville,2022-04-10,24,0,0,24,,
Charlottesville,2022-04-11,18,0,1,17,,
Charlottesville,2022-04-12,18,0,2,16,,
Charlottesville,2022-04-13,22,0,5,17,,
Charlottesville,2022-04-14,22,0,2,20,,
Charlottesville,2022-04-15,26,0,7,19,,
Charlottesville,2022-04-16,17,0,1,16,,
Charlottesville,2022-04-17,19,0,1,18,,
Charlottesville,2022-04-18,22,0,2,20,,
Charlottesville,2022-04-19,14,0,1,13,,
Charlottesville,2022-04-20,23,0,0,23,,
Charlottesville,2022-04-21,22,0,3,19,,
Charlottesville,2022-04-22,10,0,1,9,,
Charlottesville,2022-04-23,17,0,2,15,,
Charlottesville,2022-04-24,17,0,2,15,,
Charlottesville,2022-04-25,19,0,0,19,,
Charlottesville,2022-04-26,11,0,1,10,,
Charlottesville,2022-04-27,23,0,4,19,,
Charlottesville,2022-04-28,10,0,0,10,,
Charlottesville,2022-04-29,24,0,1,23,,
Charlottesville,2022-04-30,19,0,3,16,,
Charlottesville,2022-05-01,15,0,2,13,,
Charlottesville,2022-05-02,22,0,2,20,,
Charlottesville,2022-05-03,13,0,2,11,,
Charlottesville,2022-05-04,14,0,1,13,,
Charlottesville,2022-05-05,14,0,2,12,,
Charlottesville,2022-05-06,18,0,1,17,,
Charlottesville,2022-05-07,14,0,0,14,,
Charlottesville,2022-05-08,12,0,0,12,,
Charlottesville,2022-05-09,24,0,3,21,,
Charlottesville,2022-05-10,18,0,2,16,,
Charlottesville,2022-05-11,10,0,3,7,,
Charlottesville,2022-05-12,22,0,4,18,,
Charlottesville,2022-05-13,15,0,2,13,,
Charlottesville,2022-05-14,17,0,3,14,,
Charlottesville,2022-05-15,14,0,1,13,,
Charlottesville,2022-05-16,16,0,2,14,,
Charlottesville,2022-05-17,23,0,0,23,,
Charlottesville,2022-05-18,13,0,2,11,,
Charlottesville,2022-05-19,19,0,1,18,,
Charlottesville,2022-05-20,17,0,0,17,,
Charlottesville,2022-05-21,14,0,2,12,,
Charlottesville,2022-05-22,14,0,0,14,,
Charlottesville,2022-05-23,13,0,0,13,,
Charlottesville,2022-05-24,17,1,2,14,,
Charlottesville,2022-05-25,19,0,0,19,,
Charlottesville,2022-05-26,24,0,3,21,,
Charlottesville,2022-05-27,13,0,0,13,,
Charlottesville,2022-05-28,12,0,0,12,,
Charlottesville,2022-05-29,14,0,0,14,,
